twitterID,text,retweet_count,favorite_count,created_at,location,source
Sidney Antommarchi,"#CloudComputing Market in #LatinAmerica - Key vendors are #AWS, #Microsoft, #IBM, #Google &amp; #Salesforce https://t.co/3pOdWLsQit",1,4,2017-08-03 12:12:44,20170,Twitter for iPhone
zrafsha,"RT @internetsekho: #GoogleHome Review- #SmartSpeaker &amp; Home Assistant
https://t.co/qfYbajt3KU https://t.co/iVjQrBB8TO",6,0,2017-08-03 12:12:17,,Twitter Web Client
Kimberly Sutherland,RT @pourmecoffee: Next White House Communications Director will just be Google Home sitting in a chair you can ask to spell things. This is…,92,0,2017-08-03 12:11:57,,Twitter Web Client
Ed Sinamark,"https://t.co/D1Vj6IQpYe Nvidia and HP want you to design a virtual Mars colony... go easy on them, eh? #mars",0,0,2017-08-03 12:11:31,,IFTTT
Jin,"RT @BTS_Billboard: Buy/Gift @BTS_twt:

—""Come Back Home""
https://t.co/OjU3WGhe3V
https://t.co/yqadLsyWql

—YNWA
https://t.co/mhkimjJodM
htt…",56,0,2017-08-03 12:11:14,En Una cueva con Wifi (?,Twitter Lite
Terri Baker,2017 Telus Google Home Contest https://t.co/ck90vy2VZG,0,0,2017-08-03 12:11:03,"Mississauga, Ontario",Twitter Web Client
Your Very Own Geek,Some Google Home users are reporting problems with Philips Hue lights https://t.co/8WlQt80rL3,0,0,2017-08-03 12:10:12,"Chesterfield, IN",Facebook
The Flat Circle Blog,"So that's yes?
https://t.co/PRNm0JvIS5. By https://t.co/JkpKsouOvV",0,0,2017-08-03 12:10:12,"Narberth, PA",Twitter for Android
Security Guru,"Buy best quality residential home security cameras, outdoor security cameras, IP cameras, CCTV cameras 

https://t.co/4I7njcpQ2l",0,1,2017-08-03 12:09:42,"New Delhi, India",Twitter Web Client
Everyday Essentials,RT @realtybiznews: Honeywell Adds New Integration with Google Home https://t.co/3RFfwTbtpj,1,0,2017-08-03 12:09:17,USA,Twitter Web Client
Nick,"RT @benchmarkmin: 18th lithium ion battery megafactory in pipeline,@benchmarkmin data&gt; Germany to Take on Tesla w Gigafactory Rival https:/…",24,0,2017-08-03 12:09:14,,Twitter for iPhone
Everyday Essentials,RT @realtybiznews: Honeywell Adds New Integration with Google Home - RealtyBizNews: Real Estate News https://t.co/HXSxEvVOSq https://t.co/J…,2,0,2017-08-03 12:09:13,USA,Twitter Web Client
Alin Toncz,"RT @AIIAmericanGirI: Report: Al Gore's Home Burns 34 Times More Electricity Than Average U.S. Household @BreitbartNews
https://t.co/h3Qf0Kh…",175,0,2017-08-03 12:08:55,,Twitter for iPhone
ゲン,"RT @OpBeastTweets: #Anonymous 👉 #OpBeast https://t.co/EHKyui47lq Sick Bestiality; legal animal rape, must be outlawed and banned. https://t…",1,0,2017-08-03 12:08:46,,Twitter for iPhone
SP,2017 Telus Google Home Contest https://t.co/E3f51worVY,0,0,2017-08-03 12:08:02,,Twitter Web Client
technijuan,Honeywell thermostats now has Google Home support https://t.co/zIPhNX6M8E #tech,0,0,2017-08-03 12:07:24,Republic of the Philippines,IFTTT
Jagdish prasad,Digital world online home job Google play store open to champcash app install champcash online earn money free join… https://t.co/LNwUxPvT6D,0,0,2017-08-03 12:06:57,Kota rajasthan India ,Twitter for Android
Home Improvement Tip,From the supervisor: Home improvement tax exemption offered to residents https://t.co/DWgM31IsHT,0,0,2017-08-03 12:06:36,"Las Vegas, NV",IFTTT
WorkplacepoliticsQ&A,"Working From Home Isn't Ruining Your Social Skills -- Science of Us

https://t.co/gZLS7K73ha #WorkFromHome 

Shared from my Google feed",0,0,2017-08-03 12:05:43,"Manhattan, NY",Twitter for iPhone
Sandralyonne,"Google Home Service Ads to Launch Soon in Chicago https://t.co/CU0VSY2mbM via @1SEOcom, @sejournal",0,0,2017-08-03 12:05:29,"California, USA",Twitter Web Client
Anthony Donnelly,RT @smh: Google Home: passing novelty or long-term assistant? https://t.co/ZSqRjS5bCF,5,0,2017-08-03 12:04:46,"Sacramento, CA",Twitter Web Client
Amber,RT @smh: Google Home: passing novelty or long-term assistant? https://t.co/ZSqRjS5bCF,5,0,2017-08-03 12:04:38,"Sydney, Australia",Twitter for iPhone
#보라해 🌈 Ari💓,"RT @BTS_Billboard: Buy/Gift @BTS_twt:

—""Come Back Home""
https://t.co/OjU3WGhe3V
https://t.co/yqadLsyWql

—YNWA
https://t.co/mhkimjJodM
htt…",56,0,2017-08-03 12:04:28,อยู่ในใจบังทัน,Twitter Web Client
AlexaInformática,Honeywell thermostats now has Google Home support https://t.co/ut6v38yWAL #Android,0,0,2017-08-03 12:04:22,"Montevideo, Uruguay",IFTTT
Amanda Lacey,RT @smh: Google Home: passing novelty or long-term assistant? https://t.co/ZSqRjS5bCF,5,0,2017-08-03 12:03:58,"Sydney, New South Wales",Twitter for iPhone
Ottawa Bee,"Inadequate home care for Ottawa-area families with sick children, study finds #Ottawa #bhivecan https://t.co/xjNHSrwO0Q",0,0,2017-08-03 12:03:23,"Ottawa, ON",SocialOomph
Ambassador Bee,Toronto home prices fall for third month in a row #Toronto #yyz #The6 https://t.co/WFbBavDFBg,0,0,2017-08-03 12:03:22,"Toronto, Ontario",SocialOomph
Android News Infini,Honeywell thermostats now has Google Home support https://t.co/vajiWpohLw,0,0,2017-08-03 12:03:20,,dlvr.it
Cannabis Bee,Please Join the Town of Truckee for a community Cannabis Dialogue | News &amp; Updates #Cannabis https://t.co/WW38slk4ER,0,0,2017-08-03 12:03:16,"Atlanta, GA, USA",SocialOomph
Meagan K,1960s Melbourne warehouse revitalised as inner-city family home #architects https://t.co/99MmrCfi7l,0,0,2017-08-03 12:03:09,"Toronto, Ontario",SocialOomph
Michael Dahmke,"@ITHINGS4 launchs the best #LED Strip w/ Alexa, Google Home &amp; IFTTT =&gt; #DLIGHT4 campaign starts soon on #kickstarter https://t.co/qDM1oFNpFP",0,0,2017-08-03 12:03:03,,Twitter Web Client
Pat Dwyer,@bariweiss writes a HOME RUN in @nytimes. Let this leave no confusion as to who the faux-liberal frauds are. https://t.co/e1qCzelT7H,0,0,2017-08-03 12:02:51,"Milwaukee, WI",Twitter for iPhone
Sachin Bhatia,#Android https://t.co/v574XIOXUZ thermostats now has Google Home support,0,0,2017-08-03 12:02:36,"28.423279,77.04207",IFTTT
marching,"#USA #justice?
#court case against #EmoryUniversity (#Atlanta) was dismissed by two Emory-graduated #judges.
#news… https://t.co/JKaqCi7LWf",0,0,2017-08-03 12:02:30,,Postcron App
Jeff Plaman,RT @heza: @jplaman @MaryTMM @TIESeducation @pgreensoup There are resources at https://t.co/saBqAsJ8gz like classroom posters &amp; a book study…,1,0,2017-08-03 12:02:24,"St Paul, MN",Twitter for iPhone
Sadia khan,"RT @internetsekho: #GoogleHome Review- #SmartSpeaker &amp; Home Assistant
https://t.co/qfYbajt3KU https://t.co/iVjQrBB8TO",6,0,2017-08-03 12:02:19,Pakistan,Twitter Web Client
Toronto Solds,Toronto home sales in July drop 40 per cent compared with a year ago » https://t.co/WJRQyMiS7B #toronto,0,0,2017-08-03 12:02:09,Toronto,IFTTT
Toronto Solds,Toronto home prices fall for third month in a row » https://t.co/2TQabc1mL3 #toronto,0,0,2017-08-03 12:02:08,Toronto,IFTTT
Toronto Solds,"Toronto home prices fall, new listings slide as sellers move to sidelines » https://t.co/LWrPIzApLT #toronto",0,0,2017-08-03 12:02:08,Toronto,IFTTT
Ahmad al-As'ad,https://t.co/sTW54ZswNL | Honeywell thermostats now has Google Home support,0,0,2017-08-03 12:02:06,"Dallas, TX",IFTTT
OmtÖcknad Swede,This calculator reveals how much energy you could save with Ikea's solar panels and home batteries https://t.co/fEc81xsuhz,0,0,2017-08-03 12:01:52,Worldwide,Hootsuite
C.Byrne,RT @SEOTipsnTricks: What do people search for with their voice using the Google Home / Assistant device ? https://t.co/1DZKAZlCjD #seo,4,0,2017-08-03 12:01:30,"The Beautiful South, UK",Twitter Web Client
Kilathonghol,"RT @IThings4: LED Strip Lights made easy ! ready for Alexa, Amazon Echo Dot, Google Home, IFTTT by DLIGHT4 LED https://t.co/jMpNQkJzio",1052,0,2017-08-03 12:01:30,,Twitter Web Client
smh.com.au,Google Home: passing novelty or long-term assistant? https://t.co/ZSqRjS5bCF,5,6,2017-08-03 12:01:26,"Sydney, Australia",Hootsuite
Abdallah Ghalayini,Google's new startup uses energy from your lawn to heat your home https://t.co/LUvPFnCqwi,0,0,2017-08-03 12:01:24,USA,Twitter for iPad
Michael Dahmke,"@ITHINGS4 launchs the best #LED Strip w/ Alexa, Google Home &amp; IFTTT =&gt; #DLIGHT4 campaign starts soon on #kickstarter https://t.co/rwALluQyio",0,0,2017-08-03 12:01:05,,Twitter Web Client
